,Review,CleanedReview
0,"Most of the reviewers for this film here on IMDb appear to be folks of Indian background; nothing wrong with that but with most of them offering glowing praise and a '10 rating, it's difficult to get a true perspective on the movie. I thought it was OK, though not a '10' rated film by any means. The picture utilizes a tried and true sports movie formula depicting a rigorous training schedule, a demanding coach and notable accomplishments along the way before the principal character encounters some roadblocks on the way to a Commonwealth Games gold medal. There's also the idea of success achieved by defying conventional thinking, in the way Geeta Phogat (Fatima Sana Shaikh) and her sister Babita (Sanya Malhotra) rise to prominence in the traditionally male sport of wrestling. That's perhaps the film's best takeaway, as the girls in question endured a lot of physical and mental anguish to achieve their goals, thereby serving as role models for other young women to follow.","Most of the reviewers for this film here on IMDb appear to be folks of Indian background; nothing wrong with that but with most of them offering glowing praise and a '10 rating, it's difficult to get a true perspective on the movie. I thought it was OK, though not a '10' rated film by any means. The picture utilizes a tried and true sports movie formula depicting a rigorous training schedule, a demanding coach and notable accomplishments along the way before the principal character encounters some roadblocks on the way to a Commonwealth Games gold medal. There's also the idea of success achieved by defying conventional thinking, in the way Geeta Phogat (Fatima Sana Shaikh) and her sister Babita (Sanya Malhotra) rise to prominence in the traditionally male sport of wrestling. That's perhaps the film's best takeaway, as the girls in question endured a lot of physical and mental anguish to achieve their goals, thereby serving as role models for other young women to follow."
1,"Let this incredibly sincere biopic wrestle with your emotions, let it grab you around the waist and smash you through a glass ceiling like no other, let it hold you in its arms and flip you around until your head is spinning. A truly inspirational story of a family, of Geeta Phogat and her sister Babita Kumari, of their father Mahavir Singh Phogat, of the incredible journey, adventure and experience they undertake in order to achieve something spectacular and profound. With breathtaking performances all round, this is one film that will leave you in awe of the incredible things people can achieve in the most challenging of circumstances - an absolutely astonishing piece of film making.","Let this incredibly sincere biopic wrestle with your emotions, let it grab you around the waist and smash you through a glass ceiling like no other, let it hold you in its arms and flip you around until your head is spinning. A truly inspirational story of a family, of Geeta Phogat and her sister Babita Kumari, of their father Mahavir Singh Phogat, of the incredible journey, adventure and experience they undertake in order to achieve something spectacular and profound. With breathtaking performances all round, this is one film that will leave you in awe of the incredible things people can achieve in the most challenging of circumstances - an absolutely astonishing piece of film making."
2,"I saw this with my family in a theatre. Awesome experience.
Aamir's acting, effort n most importantly his passion is what makes his cinema so damn unique. First thing Dangal has going for it is Aamir khan.
Aamir khan gave arguably the best performance of his career playing Phogat. He is the best actor in bollywood. Period. He shocked me by his transformation. I myself being a gym trainer knows the effort which goes in such kinda transformation. Without Aamir I don't think this movie could have achieved what it has.
The child actors were good too. The music was good. The direction by Tiwari was the best of 2016. This movie was never boring and full credit shud go to the director. The cinematography gave you a feeling as if what you are watching is real.
Overall you don't have to like wrestling or know wrestling to appreciate this movie. Its a wonderful movie. The movie is written very well. Superb screenplay n crispy editing.","I saw this with my family in a theatre. Awesome experience. Aamir's acting, effort n most importantly his passion is what makes his cinema so damn unique. First thing Dangal has going for it is Aamir khan. Aamir khan gave arguably the best performance of his career playing Phogat. He is the best actor in bollywood. Period. He shocked me by his transformation. I myself being a gym trainer knows the effort which goes in such kinda transformation. Without Aamir I don't think this movie could have achieved what it has. The child actors were good too. The music was good. The direction by Tiwari was the best of 2016. This movie was never boring and full credit shud go to the director. The cinematography gave you a feeling as if what you are watching is real. Overall you don't have to like wrestling or know wrestling to appreciate this movie. Its a wonderful movie. The movie is written very well. Superb screenplay n crispy editing."
3,"DANGAL is a masterpiece. A terrific film that stays in your heart and remains etched in your memory much after the screening has concluded. A brilliant film that restores your faith in Hindi cinema. Actually, it won't be erroneous to state that DANGAL is the finest film to come out of the Hindi film industry in a long, long time and mark my words, it will be remembered as a classic in times to come. It blends drama, emotions, sportsmanship and patriotism extraordinarily the icing on the cake being Aamir Khan's towering act. This rich-in-merits film has a major advantage too -- the holidays ahead Christmas and New Year -- which will ensure a glorious run at the ticket counters. A must, must watch!","DANGAL is a masterpiece. A terrific film that stays in your heart and remains etched in your memory much after the screening has concluded. A brilliant film that restores your faith in Hindi cinema. Actually, it won't be erroneous to state that DANGAL is the finest film to come out of the Hindi film industry in a long, long time and mark my words, it will be remembered as a classic in times to come. It blends drama, emotions, sportsmanship and patriotism extraordinarily the icing on the cake being Aamir Khan's towering act. This rich-in-merits film has a major advantage too -- the holidays ahead Christmas and New Year -- which will ensure a glorious run at the ticket counters. A must, must watch!"
4,"""Direction was superb and Aamir's performance was excellent. A compelling narrative based on true story with a powerful message for women"" My rating- 4.5/5 (Movie of the year and don't miss this flick) ","""Direction was superb and Aamir's performance was excellent. A compelling narrative based on true story with a powerful message for women"" My rating- 4.5/5 (Movie of the year and don't miss this flick) "
5,"If I would I've seen this movie in 2016, it certainly would have been in my list of best movies. If you're going to this movie thinking Aamir will be flexing and showcasing his acting prowess then well and good but the girls are the highlight of the movie, hands down. SCRIPT - Major props to bringing out a story which is inspiring and one which India needs right now. The story is kept grounded in reality. No over-the-top gimmicks. The songs blend in very well with the premise. None of the scenes linger on for a long period of time. There was a very natural flow to the story which helped engage the audience for 2 hours and 41 minutes. Even movies like Mary Kom or Bhaag Milkha Bhaag started to drag by the end but hats off to Piyush Gupta and Shreyas Jain. I have said this that dialogue shouldn't seem like dialogue unless it is a musical or a re-imagining of a play. The dialogue in this movie is a lesson as to how dialogue should be used. Little nods and grunts and expressions serve more than an explanatory conversation. I am not a fan of narration and I wasn't really liking it here either. It was fine for the light-hearted scenes but the serious scenes required silence but I can give it a pass. The only scene which felt a bit off is where Mahavir gets locked up in a room before the final fight. If it didn't happen in reality then it was really unnecessary. DIRECTION - Chillar Party was a movie with some serious message but was a little preachy and Bhootnath Returns went full preachy. Nitesh Tiwari toned down that preaching to a very natural level in this movie. Every single topic that has happened or still happens in a family was touched upon. Beginning from the sleaziness of men to child-marriage to the sacrifice parents make, everything was utilised to the advantage of the movie. None of that brought the movie to a halt. The first half of the movie had a good amount of comedy and that gelled into the second half with ease. The thing that many might not notice that there are no pay-off scenes except for the last scene. If the audience reaches a peak before the ending then the pay-off wouldn't have a solid effect, if used multiple times. Pay-off scenes are those scenes where the characters are shown to be doing things in extra slow-motion to have an orgasmic effect on the audience and the director cleverly used it at the end in order to give proper tribute to the art and the character. FIGHT CHOREOGRAPHY - This section needed a category of it's own and quite deservedly. I saw Mary Kom, Sultan and Saala Khadoos which had extensive fight scenes and all of the movies had extremely lack-lustre fight scenes. The camera moved too much in order to cover up the actor/actresses' incapability to fight. In comparison to all those movies, here the camera just followed the fighters. No wide-shots of the fight from the audience's perspective because that allows the stunt double to come in. All the fights had the actresses in the scene and hats off to all of them for their dedication. ACTING - Like I said before, the best performance among some amazing performances was of the newcomer Fatima Sana Shaikh. That said, it will really be unjust to name one performance as the best performance because everyone was amazing in this movie. Aamir Khan, Sakshi Tanwar, Sanya Malhotra, Aparshakti Khurana,Zaira Wasim, Suhani Bhatnagar,Ritwik Shore and Girish Kulkarni gave amazing performances. As Aamir had put on so much weight, that altered his physicality a lot which enhanced his performance to another level. Sakshi Tanwar should be doing more movies. She gave a very subdued and nuanced performance. Sanya Malhotra as the grown up Babita had very few scenes but her eyes spoke when she didn't have any dialogue. Zaira Wasim and Sulhani Bhatnagar were awesome, just awesome. I was in awe how they are able to emote so much at their age. Ritwik Shore and Aparshakti Khurana together made Omkar a memorable character. I think they had some of the best scenes in the entire movie. I wanted to kill Girish Kulkarni after Ugly and after this I still want to kill him and that's a compliment. The side actors who formed the audience and little roles like the Dangal organiser and the guy who had sleazy theatre also gave substance to the movie. FINAL VERDICT - I am sure everyone has seen this movie by now and if you haven't then please do. It's a complete movie and it is very rare to see a complete movie, without gimmicks nowadays. I loved how they had such eye for detail because they gave that damaged effect to Aamir's ear. Many wouldn't notice it but it's great to that they did to provide authenticity to the character and the movie. It's a 10/10 for me and one of the best movies of 2016.","If I would I've seen this movie in 2016, it certainly would have been in my list of best movies. If you're going to this movie thinking Aamir will be flexing and showcasing his acting prowess then well and good but the girls are the highlight of the movie, hands down. SCRIPT - Major props to bringing out a story which is inspiring and one which India needs right now. The story is kept grounded in reality. No over-the-top gimmicks. The songs blend in very well with the premise. None of the scenes linger on for a long period of time. There was a very natural flow to the story which helped engage the audience for 2 hours and 41 minutes. Even movies like Mary Kom or Bhaag Milkha Bhaag started to drag by the end but hats off to Piyush Gupta and Shreyas Jain. I have said this that dialogue shouldn't seem like dialogue unless it is a musical or a re-imagining of a play. The dialogue in this movie is a lesson as to how dialogue should be used. Little nods and grunts and expressions serve more than an explanatory conversation. I am not a fan of narration and I wasn't really liking it here either. It was fine for the light-hearted scenes but the serious scenes required silence but I can give it a pass. The only scene which felt a bit off is where Mahavir gets locked up in a room before the final fight. If it didn't happen in reality then it was really unnecessary. DIRECTION - Chillar Party was a movie with some serious message but was a little preachy and Bhootnath Returns went full preachy. Nitesh Tiwari toned down that preaching to a very natural level in this movie. Every single topic that has happened or still happens in a family was touched upon. Beginning from the sleaziness of men to child-marriage to the sacrifice parents make, everything was utilised to the advantage of the movie. None of that brought the movie to a halt. The first half of the movie had a good amount of comedy and that gelled into the second half with ease. The thing that many might not notice that there are no pay-off scenes except for the last scene. If the audience reaches a peak before the ending then the pay-off wouldn't have a solid effect, if used multiple times. Pay-off scenes are those scenes where the characters are shown to be doing things in extra slow-motion to have an orgasmic effect on the audience and the director cleverly used it at the end in order to give proper tribute to the art and the character. FIGHT CHOREOGRAPHY - This section needed a category of it's own and quite deservedly. I saw Mary Kom, Sultan and Saala Khadoos which had extensive fight scenes and all of the movies had extremely lack-lustre fight scenes. The camera moved too much in order to cover up the actor/actresses' incapability to fight. In comparison to all those movies, here the camera just followed the fighters. No wide-shots of the fight from the audience's perspective because that allows the stunt double to come in. All the fights had the actresses in the scene and hats off to all of them for their dedication. ACTING - Like I said before, the best performance among some amazing performances was of the newcomer Fatima Sana Shaikh. That said, it will really be unjust to name one performance as the best performance because everyone was amazing in this movie. Aamir Khan, Sakshi Tanwar, Sanya Malhotra, Aparshakti Khurana,Zaira Wasim, Suhani Bhatnagar,Ritwik Shore and Girish Kulkarni gave amazing performances. As Aamir had put on so much weight, that altered his physicality a lot which enhanced his performance to another level. Sakshi Tanwar should be doing more movies. She gave a very subdued and nuanced performance. Sanya Malhotra as the grown up Babita had very few scenes but her eyes spoke when she didn't have any dialogue. Zaira Wasim and Sulhani Bhatnagar were awesome, just awesome. I was in awe how they are able to emote so much at their age. Ritwik Shore and Aparshakti Khurana together made Omkar a memorable character. I think they had some of the best scenes in the entire movie. I wanted to kill Girish Kulkarni after Ugly and after this I still want to kill him and that's a compliment. The side actors who formed the audience and little roles like the Dangal organiser and the guy who had sleazy theatre also gave substance to the movie. FINAL VERDICT - I am sure everyone has seen this movie by now and if you haven't then please do. It's a complete movie and it is very rare to see a complete movie, without gimmicks nowadays. I loved how they had such eye for detail because they gave that damaged effect to Aamir's ear. Many wouldn't notice it but it's great to that they did to provide authenticity to the character and the movie. It's a 10/10 for me and one of the best movies of 2016."
6,"Director Mr. Nitesh Tiwari work is so brilliant that after few minutes, you just forget that you are watching film. You simply start witnessing the journey of Phogat's family. Makers are so confident that they have even given credit for story idea to Divya Rao, which reflects their honesty. She is not in writing team but gets her due credit. There are four writers, Director himself, Piyush Gupta, Shreyas Jain and Nikhil Mehrotra and their work is fantastic. Screenplay is seamless and very balanced with much needed freshness. Film starts with glimpse of Mahavir Singh Phogat's passion for wrestling, while watching and challenging another district level arrogant winner, while commentary comes over on them which is fresh. When that person gets defeated he says 'Tumne district level pehlawan ko haraya hai' Then Mahavir Singh replies ' Tension mat le, tum national level champion se hare ho'. Words may be a bit different but meaning was same. Which gives strong idea that what level of dialogues you are going to listen and they have maintained the graph. Dialogues just nourish your senses, inducing correct emotions. A simple scene where protagonist massages feet of his sleeping daughter, clearly reflects that he is just not a ruthless coach but a caring father too. Girls curse their father in front of their friend who is getting married, then that girl emotional words about her feeling towards their caring father is very cute, emotional and enough to make girls realize that what they are taking for granted. Best part of this film is it's continues ascending graph in every aspect. First half is cute, funny with subtle dose of emotions. Second half takes this graph to the horizon. Full of emotions, either it is of defeat, victory or relations. Another major plus point is the way they have shown wrestling. I dint know a bit of it but I enjoyed all wrestling matches like it was my favorite game and that is major chunk of film. Hats off to the team behind wresting choreography .Though you have basic idea of film happenings but still they kept you engrossed by presentation. Climax comes with a very strong message that one can train you but only you have to implement the techniques, which makes you true winner and enriches self confident. Performance makes you thunderstruck. Words can not justify or compliment, Amir Khan's performance as Mahavir Singh Phogat. Zaira Waseem as younger Geeta is brilliant. She is so good that when Fatima Sana Sheikh takes over as grown up Geeta, you miss younger one but soon Fatima proves that she has taken the graph far ahead. Same happens with younger Babita played by Suhani Bhatnagar and grown up by Sanya Malhotra. Skashi Tanwar as wife of Mahavir Singh is very good. Girish Kulkarni , who had played coach is superb, you do hate his character but love his performance. Actor, who played younger cousin of Geeta and even grown up one, both actors are cute and endearing. Kudos to casting director Mukesh Chhabra and team. Music by Pritam and lyrics by Amitabh Bhattacharya, are integral part of this film. Without any formulated track you just enjoy every song and your eyes get mois in one too.","Director Mr. Nitesh Tiwari work is so brilliant that after few minutes, you just forget that you are watching film. You simply start witnessing the journey of Phogat's family. Makers are so confident that they have even given credit for story idea to Divya Rao, which reflects their honesty. She is not in writing team but gets her due credit. There are four writers, Director himself, Piyush Gupta, Shreyas Jain and Nikhil Mehrotra and their work is fantastic. Screenplay is seamless and very balanced with much needed freshness. Film starts with glimpse of Mahavir Singh Phogat's passion for wrestling, while watching and challenging another district level arrogant winner, while commentary comes over on them which is fresh. When that person gets defeated he says 'Tumne district level pehlawan ko haraya hai' Then Mahavir Singh replies ' Tension mat le, tum national level champion se hare ho'. Words may be a bit different but meaning was same. Which gives strong idea that what level of dialogues you are going to listen and they have maintained the graph. Dialogues just nourish your senses, inducing correct emotions. A simple scene where protagonist massages feet of his sleeping daughter, clearly reflects that he is just not a ruthless coach but a caring father too. Girls curse their father in front of their friend who is getting married, then that girl emotional words about her feeling towards their caring father is very cute, emotional and enough to make girls realize that what they are taking for granted. Best part of this film is it's continues ascending graph in every aspect. First half is cute, funny with subtle dose of emotions. Second half takes this graph to the horizon. Full of emotions, either it is of defeat, victory or relations. Another major plus point is the way they have shown wrestling. I dint know a bit of it but I enjoyed all wrestling matches like it was my favorite game and that is major chunk of film. Hats off to the team behind wresting choreography .Though you have basic idea of film happenings but still they kept you engrossed by presentation. Climax comes with a very strong message that one can train you but only you have to implement the techniques, which makes you true winner and enriches self confident. Performance makes you thunderstruck. Words can not justify or compliment, Amir Khan's performance as Mahavir Singh Phogat. Zaira Waseem as younger Geeta is brilliant. She is so good that when Fatima Sana Sheikh takes over as grown up Geeta, you miss younger one but soon Fatima proves that she has taken the graph far ahead. Same happens with younger Babita played by Suhani Bhatnagar and grown up by Sanya Malhotra. Skashi Tanwar as wife of Mahavir Singh is very good. Girish Kulkarni , who had played coach is superb, you do hate his character but love his performance. Actor, who played younger cousin of Geeta and even grown up one, both actors are cute and endearing. Kudos to casting director Mukesh Chhabra and team. Music by Pritam and lyrics by Amitabh Bhattacharya, are integral part of this film. Without any formulated track you just enjoy every song and your eyes get mois in one too."
7,Aamir Khan shines in the role of Mahavir Singh Phogat. He is so outstanding in his performance that this could be considered as one of his best works ever. The opening scene of the film is just a glimpse of Phogat's passion for the sport – wrestling. The first half of Dangal works exactly like a skilled wrestler – invariably sure of its moves. The film's second half is all about victory. Mahavir's transformation from the once upset father of a baby girl to the most triumphant one to Geeta's string of losses before she finally wins a gold during Common Wealth Games to desi akhara being replaced by wrestling mat – every moment works in contrast to what you had watched earlier. But not even once does the film loses its focus.,Aamir Khan shines in the role of Mahavir Singh Phogat. He is so outstanding in his performance that this could be considered as one of his best works ever. The opening scene of the film is just a glimpse of Phogat's passion for the sport – wrestling. The first half of Dangal works exactly like a skilled wrestler – invariably sure of its moves. The film's second half is all about victory. Mahavir's transformation from the once upset father of a baby girl to the most triumphant one to Geeta's string of losses before she finally wins a gold during Common Wealth Games to desi akhara being replaced by wrestling mat – every moment works in contrast to what you had watched earlier. But not even once does the film loses its focus.
8,"Story: 9/10 A Very True inspiring story of former wrestler champion Mahavir Singh Phogat whose dream is to win a gold medal for India in wrestling. But he fails to achieve that, then He avow that his son will do it. However, he got disappointed when his wife gives birth to four daughters.","Story: 9/10 A Very True inspiring story of former wrestler champion Mahavir Singh Phogat whose dream is to win a gold medal for India in wrestling. But he fails to achieve that, then He avow that his son will do it. However, he got disappointed when his wife gives birth to four daughters."
9,I watched this because my son wrestles and I didnt know it was a inspirational but also a tear jerker. Never heard of this movie until our wrestling community here in Ohio talked about it. Definitely one to watch!!,I watched this because my son wrestles and I didnt know it was a inspirational but also a tear jerker. Never heard of this movie until our wrestling community here in Ohio talked about it. Definitely one to watch!!
